,NZ,N,Z,A,el,o,massexcess,uncmassex,binding,uncbind,B,beta,uncbeta,am_int,am_float,uncatmass
0,1,1,0,1, n ,    ,8071.31713,0.00046,0.0,0.0,B-,782.347,0.0,1,8664.91582,0.00049
1,-1,0,1,1,H  ,    ,7288.97061,9e-05,0.0,0.0,B-,0.0,0.0,1,7825.03224,9e-05
2,0,1,1,2,H  ,    ,13135.72176,0.00011,1112.283,0.0,B-,0.0,0.0,2,14101.77811,0.00012
3,1,2,1,3,H  ,    ,14949.80993,0.00022,2827.265,0.0,B-,18.592,0.0,3,16049.28199,0.00023
4,-1,1,2,3,He ,    ,14931.21793,0.00021,2572.68,0.0,B-,-13.736,2.0,3,16029.32265,0.00022
5,-3,0,3,3,Li , -pp,0.28667,0.02,-2.267,0.667,B-,0.0,0.0,3,0.30775,0.02147
6,2,3,1,4,H  ,  -n,24621.127,100.0,1720.449,25.0,B-,22196.211,100.0,4,26431.868,107.354
7,0,2,2,4,He ,    ,2424.91561,6e-05,7073.915,0.0,B-,-22898.273,212.132,4,2603.25413,6e-05
8,-2,1,3,4,Li ,  -p,25323.189,212.132,1153.76,53.033,B-,0.0,0.0,4,27185.562,227.733
9,3,4,1,5,H  , -nn,32892.444,89.443,1336.359,17.889,B-,21661.211,91.652,5,35311.493,96.02
10,1,3,2,5,He ,  -n,11231.233,20.0,5512.132,4.0,B-,-447.654,53.852,5,12057.224,21.47
11,-1,2,3,5,Li ,  -p,11678.886,50.0,5266.132,10.0,B-,-25.46,2.003,5,12537.8,53.677
12,-3,1,4,5,Be ,   x,0.37139,0.02003,0.018,0.401,B-,0.0,0.0,5,0.3987,0.0215
13,4,5,1,6,H  , -3n,41875.721,254.127,961.639,42.354,B-,24283.626,254.127,6,44955.437,272.816
14,2,4,2,6,He ,    ,17592.095,0.053,4878.519,0.009,B-,3505.216,0.053,6,18885.891,0.057
15,0,3,3,6,Li ,    ,14086.87895,0.00144,5332.331,0.0,B-,-4288.154,5.448,6,15122.88742,0.00155
16,-2,2,4,6,Be ,   -,18375.033,5.448,4487.247,0.908,B-,-28.945,2.003,6,19726.409,5.848
17,-4,1,5,6,B  ,   x,0.4732,0.02003,-0.467,0.334,B-,0.0,0.0,6,0.508,0.0215
18,5,6,1,7,H  , -nn,0.49135,0.01004,0.94,0.143,B-,23.062,1.004,7,0.52749,0.01078
19,3,5,2,7,He ,  -n,26073.126,7.559,4123.057,1.08,B-,11166.021,7.559,7,27990.654,8.115
20,1,4,3,7,Li ,    ,14907.10529,0.00423,5606.439,0.001,B-,-861.893,0.071,7,16003.43666,0.00454
21,-1,3,4,7,Be ,    ,15768.999,0.071,5371.548,0.01,B-,-11907.551,25.15,7,16928.717,0.076
22,-3,2,5,7,B  , p4n,27676.55,25.15,3558.705,3.593,B-,0.0,0.0,7,29712.0,27.0
23,4,6,2,8,He ,    ,31609.681,0.089,3924.52,0.011,B-,10663.878,0.1,8,33934.39,0.095
24,2,5,3,8,Li ,    ,20945.804,0.047,5159.712,0.006,B-,16004.133,0.059,8,22486.246,0.05
25,0,4,4,8,Be ,  -a,4941.671,0.035,7062.435,0.004,B-,-17979.896,1.0,8,5305.102,0.037
26,-2,3,5,8,B  ,    ,22921.567,1.0,4717.155,0.125,B-,-12142.701,18.27,8,24607.316,1.073
27,-4,2,6,8,C  ,    ,35064.268,18.243,3101.524,2.28,B-,0.0,0.0,8,37643.042,19.584
28,5,7,2,9,He ,    ,40935.826,46.816,3349.037,5.202,B-,15980.924,46.817,9,43946.419,50.259
29,3,6,3,9,Li , -3n,24954.902,0.186,5037.768,0.021,B-,13606.449,0.201,9,26790.191,0.2
30,1,5,4,9,Be ,    ,11348.453,0.077,6462.668,0.009,B-,-1068.035,0.899,9,12183.066,0.082
31,-1,4,5,9,B  ,   -,12416.488,0.903,6257.07,0.1,B-,-16494.484,2.319,9,13329.649,0.969
32,-3,3,6,9,C  , -pp,28910.972,2.137,4337.423,0.237,B-,0.0,0.0,9,31037.207,2.293
33,6,8,2,10,He , -nn,49197.143,92.848,2995.134,9.285,B-,16144.519,93.715,10,52815.308,99.676
34,4,7,3,10,Li ,  -n,33052.624,12.721,4531.351,1.272,B-,20445.136,12.722,10,35483.453,13.656
35,2,6,4,10,Be ,    ,12607.488,0.081,6497.63,0.008,B-,556.878,0.082,10,13534.695,0.086
36,0,5,5,10,B  ,    ,12050.609,0.015,6475.083,0.002,B-,-3648.062,0.069,10,12936.862,0.016
37,-2,4,6,10,C  ,    ,15698.672,0.07,6032.042,0.007,B-,-23101.355,400.0,10,16853.218,0.075
38,-4,3,7,10,N  ,  --,38800.026,400.0,3643.672,40.0,B-,0.0,0.0,10,41653.543,429.417
39,5,8,3,11,Li ,   x,40728.254,0.615,4155.381,0.056,B-,20551.087,0.659,11,43723.581,0.66
40,3,7,4,11,Be ,    ,20177.167,0.238,5952.54,0.022,B-,11509.46,0.238,11,21661.081,0.255
41,1,6,5,11,B  ,    ,8667.707,0.012,6927.732,0.001,B-,-1981.689,0.061,11,9305.166,0.013
42,-1,5,6,11,C  ,    ,10649.396,0.06,6676.456,0.005,B-,-13654.163,46.154,11,11432.597,0.064
43,-3,4,7,11,N  ,  -p,24303.559,46.154,5364.046,4.196,B-,0.0,0.0,11,26090.945,49.548
44,6,9,3,12,Li ,  -n,49009.571,30.006,3791.6,2.501,B-,23931.812,30.067,12,52613.941,32.213
45,4,8,4,12,Be ,    ,25077.76,1.909,5720.722,0.159,B-,11708.363,2.321,12,26922.083,2.048
46,2,7,5,12,B  ,    ,13369.397,1.321,6631.223,0.11,B-,13369.397,1.321,12,14352.638,1.418
47,0,6,6,12,C  ,    ,0.0,0.0,7680.144,0.0,B-,-17338.068,1.0,12,0.0,0.0
48,-2,5,7,12,N  ,    ,17338.068,1.0,6170.109,0.083,B-,-14576.544,24.021,12,18613.182,1.073
49,-4,4,8,12,O  , -pp,31914.613,24.0,4890.202,2.0,B-,0.0,0.0,12,34261.747,25.765
50,7,10,3,13,Li , -nn,56980.888,70.003,3507.63,5.385,B-,23321.812,70.739,13,61171.503,75.15
51,5,9,4,13,Be ,  -n,33659.077,10.18,5241.435,0.783,B-,17097.13,10.23,13,36134.507,10.929
52,3,8,5,13,B  , -nn,16561.947,1.0,6496.419,0.077,B-,13436.938,1.0,13,17779.981,1.073
53,1,7,6,13,C  ,    ,3125.00888,0.00021,7469.849,0.0,B-,-2220.472,0.27,13,3354.83521,0.00023
54,-1,6,7,13,N  ,    ,5345.481,0.27,7238.863,0.021,B-,-17769.951,9.53,13,5738.609,0.289
55,-3,5,8,13,O  , +3n,23115.432,9.526,5811.763,0.733,B-,0.0,0.0,13,24815.437,10.226
56,6,10,4,14,Be ,   x,39954.498,132.245,4993.897,9.446,B-,16290.813,133.936,14,42892.92,141.97
57,4,9,5,14,B  ,    ,23663.685,21.213,6101.644,1.515,B-,20643.792,21.213,14,25404.012,22.773
58,2,8,6,14,C  ,    ,3019.89278,0.00376,7520.319,0.0,B-,156.476,0.004,14,3241.98843,0.00403
59,0,7,7,14,N  ,    ,2863.41672,0.00019,7475.614,0.0,B-,-5144.364,0.025,14,3074.00446,0.00021
60,-2,6,8,14,O  ,    ,8007.781,0.025,7052.278,0.002,B-,-23956.622,41.119,14,8596.706,0.027
61,-4,5,9,14,F  ,  -p,31964.402,41.119,5285.208,2.937,B-,0.0,0.0,14,34315.199,44.142
62,7,11,4,15,Be ,  -n,49825.815,165.797,4540.97,11.053,B-,20867.573,167.126,15,53490.215,177.99
63,5,10,5,15,B  ,    ,28958.242,21.032,5879.985,1.402,B-,19085.098,21.047,15,31087.953,22.578
64,3,9,6,15,C  ,  -n,9873.144,0.8,7100.169,0.053,B-,9771.705,0.8,15,10599.256,0.858
65,1,8,7,15,N  ,    ,101.43871,0.0006,7699.46,0.0,B-,-2754.166,0.491,15,108.89894,0.00065
66,-1,7,8,15,O  ,    ,2855.605,0.491,7463.692,0.033,B-,-13711.146,14.009,15,3065.618,0.526
67,-3,6,9,15,F  ,  -p,16566.751,14.0,6497.459,0.933,B-,-23648.622,68.138,15,17785.139,15.029
68,-5,5,10,15,Ne , -pp,40215.373,66.684,4868.728,4.446,B-,0.0,0.0,15,43172.98,71.588
69,8,12,4,16,Be , -nn,57447.132,165.797,4285.285,10.362,B-,20334.623,167.608,16,61672.036,177.99
70,6,11,5,16,B  ,    ,37112.51,24.569,5507.302,1.536,B-,23418.378,24.828,16,39841.92,26.375
71,4,10,6,16,C  , -nn,13694.132,3.578,6922.054,0.224,B-,8010.225,4.254,16,14701.256,3.84
72,2,9,7,16,N  ,  -n,5683.907,2.301,7373.796,0.144,B-,10420.908,2.301,16,6101.925,2.47
73,0,8,8,16,O  ,    ,-4737.00135,0.00016,7976.206,0.0,B-,-15417.254,8.321,15,994914.6196,0.00017
74,-2,7,9,16,F  ,   -,10680.253,8.321,6963.731,0.52,B-,-13306.523,22.106,16,11465.723,8.932
75,-4,6,10,16,Ne ,  --,23986.776,20.48,6083.177,1.28,B-,0.0,0.0,16,25750.864,21.986
76,7,12,5,17,B  ,   x,43716.317,204.104,5269.667,12.006,B-,22684.419,204.841,17,46931.399,219.114
77,5,11,6,17,C  ,2p-n,21031.898,17.365,6558.024,1.021,B-,13161.82,22.946,17,22578.672,18.641
78,3,10,7,17,N  ,  +p,7870.079,15.0,7286.229,0.882,B-,8678.842,15.0,17,8448.877,16.103
79,1,9,8,17,O  ,    ,-808.76348,0.00066,7750.728,0.0,B-,-2760.465,0.248,16,999131.75664,0.0007
80,-1,8,9,17,F  ,    ,1951.702,0.248,7542.328,0.015,B-,-14548.746,0.432,17,2095.238,0.266
81,-3,7,10,17,Ne ,    ,16500.447,0.354,6640.499,0.021,B-,-18672.766,1001.356,17,17713.959,0.38
82,-5,6,11,17,Na ,   x,35173.214,1001.356,5496.08,58.903,B-,0.0,0.0,17,37760.0,1075.0
83,8,13,5,18,B  ,  -n,51792.634,204.165,4976.63,11.342,B-,26873.37,206.357,18,55601.682,219.18
84,6,12,6,18,C  ,  ++,24919.264,30.0,6426.131,1.667,B-,11806.096,35.282,18,26751.932,32.206
85,4,11,7,18,N  ,   +,13113.168,18.57,7038.562,1.032,B-,13895.984,18.57,18,14077.565,19.935
86,2,10,8,18,O  ,    ,-782.8156,0.00071,7767.097,0.0,B-,-1655.929,0.463,17,999159.61284,0.00076
87,0,9,9,18,F  ,    ,873.113,0.463,7631.638,0.026,B-,-4444.501,0.589,18,937.325,0.497
88,-2,8,10,18,Ne ,    ,5317.614,0.363,7341.257,0.02,B-,-19720.374,93.882,18,5708.693,0.39
89,-4,7,11,18,Na ,    ,25037.988,93.881,6202.217,5.216,B-,0.0,0.0,18,26879.386,100.785
90,9,14,5,19,B  ,   x,59770.244,525.363,4719.634,27.651,B-,27356.492,534.496,19,64166.0,564.0
91,7,13,6,19,C  ,  -n,32413.752,98.389,6118.273,5.178,B-,16557.471,99.748,19,34797.596,105.625
92,5,12,7,19,N  ,p-2n,15856.282,16.404,6948.543,0.863,B-,12523.424,16.614,19,17022.419,17.61
93,3,11,8,19,O  ,  -n,3332.858,2.637,7566.495,0.139,B-,4820.302,2.637,19,3577.97,2.83
94,1,10,9,19,F  ,    ,-1487.4442,0.00086,7779.018,0.0,B-,-3239.494,0.16,18,998403.16288,0.00093
95,-1,9,10,19,Ne , +3n,1752.05,0.16,7567.343,0.008,B-,-11177.34,10.536,19,1880.903,0.171
96,-3,8,11,19,Na ,    ,12929.39,10.535,6937.885,0.554,B-,-18898.998,51.099,19,13880.272,11.309
97,-5,7,12,19,Mg , -pp,31828.389,50.001,5902.025,2.632,B-,0.0,0.0,19,34169.182,53.678
98,10,15,5,20,B  ,   x,0.6845,0.008,4.453,0.04,B-,30.946,0.833,20,0.73484,0.00859
99,8,14,6,20,C  ,   x,37503.563,230.625,5961.435,11.531,B-,15737.067,243.746,20,40261.732,247.585
100,6,13,7,20,N  ,   x,21766.496,78.894,6709.171,3.945,B-,17970.324,78.899,20,23367.295,84.696
101,4,12,8,20,O  , -nn,3796.172,0.885,7568.57,0.044,B-,3813.635,0.885,20,4075.358,0.95
102,2,11,9,20,F  ,  -n,-17.463,0.03,7720.134,0.002,B-,7024.467,0.03,19,999981.252,0.031
103,0,10,10,20,Ne ,    ,-7041.93055,0.00157,8032.24,0.0,B-,-13892.535,1.114,19,992440.17619,0.00168
104,-2,9,11,20,Na ,    ,6850.604,1.114,7298.496,0.056,B-,-10627.088,2.171,20,7354.426,1.195
105,-4,8,12,20,Mg ,  +t,17477.692,1.863,6728.025,0.093,B-,0.0,0.0,20,18763.075,2.0
106,11,16,5,21,B  ,   x,0.7733,0.009,4.203,0.043,B-,31.687,1.079,21,0.83017,0.00966
107,9,15,6,21,C  ,   x,0.45643,0.00596,5.674,0.028,B-,20.411,0.611,21,0.49,0.0064
108,7,14,7,21,N  ,   x,25231.913,134.048,6609.015,6.383,B-,17169.878,134.584,21,27087.573,143.906
109,5,13,8,21,O  , -3n,8062.035,12.0,7389.374,0.571,B-,8109.64,12.134,21,8654.95,12.882
110,3,12,9,21,F  , -nn,-47.605,1.8,7738.293,0.086,B-,5684.171,1.8,20,999948.894,1.932
111,1,11,10,21,Ne ,    ,-5731.776,0.038,7971.713,0.002,B-,-3547.145,0.09,20,993846.685,0.041
112,-1,10,11,21,Na ,    ,-2184.631,0.098,7765.547,0.005,B-,-13088.48,0.761,20,997654.702,0.105
113,-3,9,12,21,Mg ,   x,10903.85,0.755,7105.031,0.036,B-,-16.086,0.596,21,11705.764,0.81
114,-5,8,13,21,Al ,   x,0.2699,0.00596,6.302,0.028,B-,0.0,0.0,21,0.28975,0.0064
115,10,16,6,22,C  , -nn,53611.197,231.49,5421.077,10.522,B-,21846.396,311.063,22,57553.99,248.515
116,8,15,7,22,N  ,   x,31764.801,207.779,6378.534,9.445,B-,22481.768,215.435,22,34100.918,223.06
117,6,14,8,22,O  , -4n,9283.033,56.921,7364.871,2.587,B-,6489.66,58.256,22,9965.746,61.107
118,4,13,9,22,F  ,   +,2793.373,12.399,7624.295,0.564,B-,10818.092,12.399,22,2998.809,13.31
119,2,12,10,22,Ne ,    ,-8024.719,0.018,8080.465,0.001,B-,-2843.207,0.171,21,991385.109,0.018
120,0,11,11,22,Na ,    ,-5181.511,0.171,7915.667,0.008,B-,-4781.578,0.321,21,994437.418,0.183
121,-2,10,12,22,Mg ,    ,-399.933,0.313,7662.761,0.014,B-,-18.601,0.401,21,999570.654,0.335
122,-4,9,13,22,Al ,   x,0.18201,0.00401,6.782,0.018,B-,-15.137,0.643,22,0.1954,0.0043
123,-6,8,14,22,Si ,   x,0.33338,0.00503,6.058,0.023,B-,0.0,0.0,22,0.3579,0.0054
124,11,17,6,23,C  ,   x,0.64171,0.00997,5.077,0.043,B-,27.45,1.082,23,0.6889,0.0107
125,9,16,7,23,N  ,   x,36720.425,420.57,6236.671,18.286,B-,22099.056,437.827,23,39421.0,451.5
126,7,15,8,23,O  ,   x,14621.369,121.712,7163.485,5.292,B-,11336.106,126.19,23,15696.686,130.663
127,5,14,9,23,F  ,    ,3285.263,33.32,7622.344,1.449,B-,8439.312,33.321,23,3526.874,35.77
128,3,13,10,23,Ne ,  -n,-5154.049,0.104,7955.256,0.005,B-,4375.804,0.104,22,994466.9,0.112
129,1,12,11,23,Na ,    ,-9529.85248,0.00181,8111.493,0.0,B-,-4056.34,0.158,22,989769.28199,0.00194
130,-1,11,12,23,Mg ,   -,-5473.513,0.158,7901.115,0.007,B-,-12221.583,0.379,22,994123.941,0.17
131,-3,10,13,23,Al ,  --,6748.07,0.345,7335.727,0.015,B-,-16.949,0.503,23,7244.351,0.37
132,-5,9,14,23,Si ,   x,0.23697,0.00503,6.565,0.022,B-,0.0,0.0,23,0.2544,0.0054
133,10,17,7,24,N  ,   x,0.46938,0.00401,5.887,0.017,B-,28.438,0.433,24,0.5039,0.0043
134,8,16,8,24,O  ,   x,18500.402,164.874,7039.685,6.87,B-,10955.887,191.633,24,19861.0,177.0
135,6,15,9,24,F  ,   x,7544.515,97.67,7463.582,4.07,B-,13496.161,97.672,24,8099.37,104.853
136,4,14,10,24,Ne , -nn,-5951.646,0.513,7993.325,0.021,B-,2466.255,0.513,23,993610.645,0.55
137,2,13,11,24,Na ,  -n,-8417.901,0.017,8063.488,0.001,B-,5515.669,0.021,23,990963.011,0.017
138,0,12,12,24,Mg ,    ,-13933.569,0.013,8260.709,0.001,B-,-13884.704,0.233,23,985041.697,0.014
139,-2,11,13,24,Al ,  ep,-48.865,0.233,7649.582,0.01,B-,-10794.06,19.473,23,999947.541,0.25
140,-4,10,14,24,Si ,  --,10745.195,19.472,7167.232,0.811,B-,-22.574,0.503,24,11535.441,20.904
141,-6,9,15,24,P  ,   x,0.3332,0.00503,6.194,0.021,B-,0.0,0.0,24,0.3577,0.0054
142,11,18,7,25,N  ,   x,0.55983,0.00503,5.613,0.02,B-,28.654,0.529,25,0.601,0.0054
143,9,17,8,25,O  ,  -n,27329.027,165.084,6727.805,6.603,B-,15994.862,191.191,25,29338.919,177.225
144,7,16,9,25,F  ,   x,11334.166,96.442,7336.306,3.858,B-,13369.667,100.721,25,12167.727,103.535
145,5,15,10,25,Ne ,    ,-2035.502,29.045,7839.799,1.162,B-,7322.312,29.07,24,997814.799,31.181
146,3,14,11,25,Na , -nn,-9357.813,1.2,8101.397,0.048,B-,3834.969,1.201,24,989953.973,1.288
147,1,13,12,25,Mg ,    ,-13192.783,0.047,8223.502,0.002,B-,-4276.808,0.045,24,985836.964,0.05
148,-1,12,13,25,Al ,    ,-8915.975,0.065,8021.136,0.003,B-,-12743.299,10.0,24,990428.306,0.069
149,-3,11,14,25,Si , +3n,3827.324,10.0,7480.11,0.4,B-,-15.911,0.401,25,4108.801,10.735
150,-5,10,15,25,P  ,   x,0.19738,0.00401,6.812,0.016,B-,0.0,0.0,25,0.2119,0.0043
151,10,18,8,26,O  , -nn,34661.037,164.95,6497.478,6.344,B-,16012.161,198.932,26,37210.155,177.081
152,8,17,9,26,F  ,   x,18648.875,111.199,7083.24,4.277,B-,18167.762,112.716,26,20020.392,119.377
153,6,16,10,26,Ne ,   x,481.114,18.429,7751.91,0.709,B-,7341.893,18.758,26,516.496,19.784
154,4,15,11,26,Na ,   x,-6860.78,3.502,8004.201,0.135,B-,9353.763,3.502,25,992634.649,3.759
155,2,14,12,26,Mg ,    ,-16214.542,0.03,8333.87,0.001,B-,-4004.391,0.063,25,982592.971,0.032
156,0,13,13,26,Al ,    ,-12210.151,0.067,8149.765,0.003,B-,-5069.136,0.085,25,986891.863,0.071
157,-2,12,14,26,Si ,   -,-7141.015,0.108,7924.708,0.004,B-,-18.114,0.196,25,992333.804,0.115
158,-4,11,15,26,P  ,   x,0.10973,0.00196,7.198,0.008,B-,-16.106,0.627,26,0.1178,0.0021
159,-6,10,16,26,S  ,   x,0.27079,0.00596,6.548,0.023,B-,0.0,0.0,26,0.2907,0.0064
160,11,19,8,27,O  ,   x,0.4467,0.005,6.185,0.019,B-,19.22,0.634,27,0.47955,0.00537
161,9,18,9,27,F  ,   x,25450.279,389.83,6867.932,14.438,B-,18399.37,400.258,27,27322.0,418.5
162,7,17,10,27,Ne ,   x,7050.909,90.77,7520.414,3.362,B-,12568.699,90.847,27,7569.462,97.445
163,5,16,11,27,Na ,  ++,-5517.79,3.726,7956.946,0.138,B-,9068.821,3.727,26,994076.408,4.0
164,3,15,12,27,Mg ,  -n,-14586.611,0.05,8263.852,0.002,B-,2610.251,0.069,26,984340.628,0.053
165,1,14,13,27,Al ,    ,-17196.861,0.047,8331.553,0.002,B-,-4812.359,0.096,26,981538.408,0.05
166,-1,13,14,27,Si ,   -,-12384.503,0.107,8124.341,0.004,B-,-11662.044,26.34,26,986704.688,0.115
167,-3,12,15,27,P  , p4n,-722.458,26.34,7663.438,0.976,B-,-17.75,0.4,26,999224.409,28.277
168,-5,11,16,27,S  ,   -,0.17028,0.00401,6.977,0.015,B-,0.0,0.0,27,0.1828,0.0043
169,12,20,8,28,O  ,   x,0.5208,0.00699,5.988,0.025,B-,18.338,0.802,28,0.5591,0.0075
170,10,19,9,28,F  ,  -n,33741.596,393.024,6614.792,14.037,B-,22441.859,412.748,28,36223.095,421.928
171,8,18,10,28,Ne ,   x,11299.737,126.068,7388.346,4.502,B-,12288.052,126.483,28,12130.767,135.339
172,6,17,11,28,Na ,   x,-988.315,10.246,7799.264,0.366,B-,14030.529,10.44,27,998939.0,11.0
173,4,16,12,28,Mg ,   +,-15018.845,2.001,8272.413,0.071,B-,1831.8,2.0,27,983876.606,2.148
174,2,15,13,28,Al ,  -n,-16850.645,0.077,8309.894,0.003,B-,4642.15,0.077,27,981910.087,0.083
175,0,14,14,28,Si ,    ,-21492.7943,0.00049,8447.744,0.0,B-,-14345.055,1.152,27,976926.53499,0.00052
176,-2,13,15,28,P  ,    ,-7147.74,1.152,7907.479,0.041,B-,-11220.945,160.004,27,992326.585,1.236
177,-4,12,16,28,S  ,  --,4073.206,160.0,7478.79,5.714,B-,-23.443,0.617,28,4372.766,171.767
178,-6,11,17,28,Cl ,   x,0.27516,0.00596,6.614,0.021,B-,0.0,0.0,28,0.2954,0.0064
179,11,20,9,29,F  ,   x,40150.186,525.363,6444.031,18.116,B-,21750.385,546.221,29,43103.0,564.0
180,9,19,10,29,Ne ,   x,18399.801,149.505,7167.067,5.155,B-,15719.807,149.685,29,19753.0,160.5
181,7,18,11,29,Na ,    ,2679.994,7.337,7682.151,0.253,B-,13282.824,13.557,29,2877.092,7.876
182,5,17,12,29,Mg ,   x,-10602.829,11.4,8113.202,0.393,B-,7604.931,11.405,28,988617.393,12.238
183,3,16,13,29,Al ,   x,-18207.76,0.345,8348.464,0.012,B-,3687.318,0.345,28,980453.164,0.37
184,1,15,14,29,Si ,    ,-21895.07838,0.00056,8448.635,0.0,B-,-4942.23,0.359,28,976494.66525,0.0006
185,-1,14,15,29,P  ,    ,-16952.848,0.359,8251.236,0.012,B-,-13796.432,50.001,28,981800.368,0.385
186,-3,13,16,29,S  , +3n,-3156.416,50.0,7748.52,1.724,B-,-16318.592,195.192,28,996611.448,53.677
187,-5,12,17,29,Cl ,  -p,13162.176,188.68,7158.832,6.506,B-,0.0,0.0,29,14130.178,202.555
188,12,21,9,30,F  ,   x,0.48112,0.00596,6.233,0.02,B-,24.832,0.648,30,0.5165,0.0064
189,10,20,10,30,Ne ,    ,23280.117,253.25,7034.531,8.442,B-,14805.448,253.295,30,24992.235,271.875
190,8,19,11,30,Na ,    ,8474.67,4.727,7501.968,0.158,B-,17358.49,5.85,30,9097.932,5.074
191,6,18,12,30,Mg ,   x,-8883.82,3.447,8054.506,0.115,B-,6981.024,4.496,29,990462.826,3.7
192,4,17,13,30,Al ,   x,-15864.844,2.888,8261.128,0.096,B-,8568.116,2.888,29,982968.388,3.1
193,2,16,14,30,Si ,  -n,-24432.96,0.022,8520.654,0.001,B-,-4232.106,0.061,29,973770.136,0.023
194,0,15,15,30,P  ,   -,-20200.854,0.065,8353.506,0.002,B-,-6141.601,0.196,29,978313.489,0.069
195,-2,14,16,30,S  ,   -,-14059.253,0.206,8122.707,0.007,B-,-18.502,0.196,29,984906.769,0.221
196,-4,13,17,30,Cl ,   x,0.04443,0.00196,7.48,0.007,B-,-16.488,0.284,30,0.0477,0.0021
197,-6,12,18,30,Ar , -pp,20931.147,206.155,6904.204,6.872,B-,0.0,0.0,30,22470.511,221.316
198,13,22,9,31,F  , -nn,0.56143,0.00546,6.033,0.018,B-,24.961,0.608,31,0.60272,0.00587
199,11,21,10,31,Ne ,    ,31181.591,266.195,6813.09,8.587,B-,18935.559,266.562,31,33474.816,285.772
200,9,20,11,31,Na ,   x,12246.031,13.972,7398.677,0.451,B-,15368.182,14.307,31,13146.656,15.0
201,7,19,12,31,Mg ,   x,-3122.151,3.074,7869.188,0.099,B-,11828.555,3.801,30,996648.232,3.3
202,5,18,13,31,Al ,   x,-14950.706,2.236,8225.517,0.072,B-,7998.33,2.236,30,983949.756,2.4
203,3,17,14,31,Si ,  -n,-22949.036,0.043,8458.291,0.001,B-,1491.505,0.043,30,975363.194,0.046
204,1,16,15,31,P  ,    ,-24440.54095,0.00067,8481.167,0.0,B-,-5398.016,0.229,30,973761.99863,0.00072
205,-1,15,16,31,S  ,    ,-19042.525,0.229,8281.8,0.007,B-,-12007.974,3.454,30,979557.007,0.246
206,-3,14,17,31,Cl ,  --,-7034.551,3.447,7869.209,0.111,B-,-18.36,0.2,30,992448.098,3.7
207,-5,13,18,31,Ar ,   -,0.11325,0.002,7.252,0.006,B-,0.0,0.0,31,0.12158,0.00215
208,12,22,10,32,Ne ,   x,0.36999,0.00503,6.671,0.016,B-,18.359,0.504,32,0.3972,0.0054
209,10,21,11,32,Na ,   x,18640.151,37.26,7219.881,1.164,B-,19469.051,37.402,32,20011.026,40.0
210,8,20,12,32,Mg ,   x,-828.9,3.26,7803.84,0.102,B-,10270.467,7.879,31,999110.139,3.5
211,6,19,13,32,Al ,   x,-11099.367,7.173,8100.344,0.224,B-,12978.319,7.179,31,988084.339,7.7
212,4,18,14,32,Si ,   x,-24077.686,0.298,8481.468,0.009,B-,227.188,0.301,31,974151.539,0.32
213,2,17,15,32,P  ,  -n,-24304.874,0.04,8464.12,0.001,B-,1710.66,0.04,31,973907.643,0.042
214,0,16,16,32,S  ,    ,-26015.53355,0.00132,8493.129,0.0,B-,-12680.86,0.562,31,972071.17443,0.00141
215,-2,15,17,32,Cl ,    ,-13334.674,0.562,8072.404,0.018,B-,-11134.323,1.857,31,985684.637,0.603
216,-4,14,18,32,Ar ,   x,-2200.351,1.77,7700.008,0.055,B-,-23.299,0.401,31,997637.826,1.9
217,-6,13,19,32,K  ,   x,0.21098,0.00401,6.947,0.013,B-,0.0,0.0,32,0.2265,0.0043
218,13,23,10,33,Ne ,   x,0.45997,0.00596,6.44,0.018,B-,22.217,0.747,33,0.4938,0.0064
219,11,22,11,33,Na ,   x,23780.11,449.912,7089.926,13.634,B-,18817.813,449.921,33,25529.0,483.0
220,9,21,12,33,Mg ,   x,4962.297,2.888,7636.455,0.088,B-,13459.677,7.559,33,5327.245,3.1
221,7,20,13,33,Al ,   x,-8497.38,6.986,8020.616,0.212,B-,12016.945,7.021,32,990877.687,7.5
222,5,19,14,33,Si ,   x,-20514.325,0.699,8361.059,0.021,B-,5823.021,1.295,32,977976.964,0.75
223,3,18,15,33,P  ,   +,-26337.346,1.09,8513.806,0.033,B-,248.508,1.09,32,971725.694,1.17
224,1,17,16,33,S  ,    ,-26585.85434,0.00135,8497.63,0.0,B-,-5582.517,0.391,32,971458.90985,0.00145
225,-1,16,17,33,Cl ,    ,-21003.337,0.391,8304.755,0.012,B-,-11619.044,0.56,32,977451.989,0.419
226,-3,15,18,33,Ar ,   x,-9384.292,0.401,7928.955,0.012,B-,-16.426,0.196,32,989925.547,0.43
227,-5,14,19,33,K  ,   x,0.07042,0.00196,7.407,0.006,B-,0.0,0.0,33,0.0756,0.0021
228,14,24,10,34,Ne , -nn,0.52842,0.00513,6.287,0.015,B-,21.161,0.789,34,0.56728,0.00551
229,12,23,11,34,Na ,   x,31680.111,599.416,6886.437,17.63,B-,23356.764,600.112,34,34010.0,643.5
230,10,22,12,34,Mg ,   x,8323.348,28.876,7550.39,0.849,B-,11323.637,29.039,34,8935.481,31.0
231,8,21,13,34,Al ,   x,-3000.289,3.074,7860.428,0.09,B-,16956.563,14.448,33,996779.057,3.3
232,6,20,14,34,Si , +pp,-19956.852,14.118,8336.141,0.415,B-,4591.847,14.141,33,978575.437,15.155
233,4,19,15,34,P  ,   x,-24548.698,0.81,8448.185,0.024,B-,5382.987,0.812,33,973645.887,0.87
