,NZ,N,Z,A,el,o,massexcess,uncmassex,binding,uncbind,B,beta,uncbeta,am_int,am_float,uncatmass
1127,4,53,49,102,In ,    ,-70694.884,4.573,8388.571,0.045,B-,-5760.0,100.0,101,924105.916,4.909
1128,2,52,50,102,Sn ,   -,-64934.884,100.105,8324.43,0.981,B-,0.0,0.0,101,930289.53,107.466
1129,29,66,37,103,Rb ,   x,-0.33608,0.00401,8.117,0.004,B-,13.814,0.446,102,9.6392,0.0043
1130,27,65,38,103,Sr ,   x,-0.47422,0.00196,8.243,0.002,B-,11.035,0.196,102,9.4909,0.0021
1131,25,64,39,103,Y  ,   x,-58457.575,11.204,8342.638,0.109,B-,9357.759,14.518,102,937243.208,12.028
1132,23,63,40,103,Zr ,   x,-67815.334,9.232,8425.895,0.09,B-,7213.337,10.036,102,927197.24,9.911
1133,21,62,41,103,Nb ,   x,-75028.671,3.935,8488.331,0.038,B-,5931.999,10.036,102,919453.403,4.224
1134,19,61,42,103,Mo ,   x,-80960.67,9.232,8538.328,0.09,B-,3643.197,13.471,102,913085.14,9.911
1135,17,60,43,103,Tc ,  +p,-84603.867,9.81,8566.103,0.095,B-,2663.304,9.808,102,909174.008,10.531
1136,15,59,44,103,Ru ,    ,-87267.171,0.443,8584.365,0.004,B-,764.538,2.26,102,906314.833,0.475
1137,13,58,45,103,Rh ,    ,-88031.708,2.301,8584.192,0.022,B-,-574.519,2.42,102,905494.068,2.47
1138,11,57,46,103,Pd ,  -n,-87457.189,0.95,8571.019,0.009,B-,-2654.498,4.207,102,906110.84,1.019
1139,9,56,47,103,Ag ,   x,-84802.692,4.099,8537.651,0.04,B-,-4151.075,4.481,102,908960.56,4.4
1140,7,55,48,103,Cd ,    ,-80651.616,1.811,8489.754,0.018,B-,-6019.026,9.754,102,913416.923,1.943
1141,5,54,49,103,In ,    ,-74632.591,9.625,8423.721,0.093,B-,-7660.0,70.0,102,919878.613,10.332
1142,3,53,50,103,Sn ,   -,-66972.591,70.659,8341.757,0.686,B-,-10.794,0.306,102,928101.962,75.855
1143,1,52,51,103,Sb ,   x,-0.56178,0.00298,8.229,0.003,B-,0.0,0.0,102,9.3969,0.0032
1144,28,66,38,104,Sr ,   x,-0.44106,0.00298,8.21,0.003,B-,9.958,0.499,103,9.5265,0.0032
1145,26,65,39,104,Y  ,   x,-0.54064,0.00401,8.298,0.004,B-,11.66,0.401,103,9.4196,0.0043
