Product;Yield;Error
Pr148m;3.0243E-4;1.0297E-4
Pr149;9.6135E-4;2.8159E-4
Pr150;0.0015735;3.7802E-4
Pr151;0.0018411;3.6677E-4
Pr152;0.0010605;2.1921E-4
Pr153;4.7512E-4;1.3282E-4
Pr154;1.1304E-4;4.295E-5
Pr155;2.6192E-5;1.016E-5
Pr156;2.9161E-6;1.0876E-6
Pr157;3.1516E-8;1.1204E-8
Pr158;2.1533E-10;8.1311E-11
Pr159;3.7559E-12;1.3673E-12
Nd143;0.0;0.0
Nd144;0.0;0.0
Nd145;0.0;0.0
Nd146;1.2612E-9;4.2187E-10
Nd147;9.9524E-7;3.4412E-7
Nd148;1.4633E-5;5.3447E-6
Nd149;4.592E-5;1.5929E-5
Nd150;2.3186E-4;6.8947E-5
Nd151;5.7277E-4;1.4052E-4
Nd152;9.4346E-4;1.8104E-4
Nd153;8.9336E-4;1.3728E-4
Nd154;5.8062E-4;5.2311E-5
Nd155;2.4297E-4;2.2536E-5
Nd156;8.8985E-5;1.2033E-5
Nd157;2.2774E-5;5.5752E-6
Nd158;2.9957E-6;1.0061E-6
Nd159;1.1721E-8;4.2635E-9
Nd160;4.9816E-10;5.4208E-10
Pm147;0.0;0.0
Pm149;2.0044E-9;7.1303E-10
Pm150;9.5514E-7;3.1871E-7
Pm151;1.0777E-6;3.5454E-7
Pm152;1.7255E-6;6.2277E-7
Pm152m;3.4457E-6;1.2436E-6
Pm152n;3.8113E-6;1.3755E-6
Pm153;2.0349E-5;8.432E-6
Pm154;1.4698E-5;6.88E-6
Pm154m;1.4698E-5;6.88E-6
Pm155;3.3561E-5;1.4351E-5
Pm156;3.4914E-5;1.1117E-5
Pm157;2.7381E-5;6.2393E-6
Pm158;5.9194E-6;1.7557E-6
Pm159;3.0456E-6;8.6533E-7
Pm160;1.3287E-7;1.4412E-7
Pm161;3.2081E-9;1.1962E-9
Pm162;2.0371E-10;2.225E-10
Pm163;5.557E-12;5.9927E-12
Sm147;0.0;0.0
Sm149;0.0;0.0
Sm150;0.0;0.0
Sm151;1.095E-10;3.592E-11
Sm152;3.8581E-9;1.3536E-9
Sm153;1.4005E-8;5.3996E-9
Sm153m;3.381E-8;1.3035E-8
Sm154;9.291E-7;3.9485E-7
Sm155;8.5982E-6;3.6285E-6
Sm156;7.567E-6;2.8179E-6
Sm157;1.5739E-5;4.6269E-6
Sm158;1.0293E-5;2.2365E-6
Sm159;6.081E-6;1.0417E-6
Sm160;3.4953E-6;3.4752E-6
Sm161;4.4101E-7;9.0428E-8
Sm162;8.2741E-8;8.9366E-8
Sm163;3.527E-9;3.7994E-9
Sm164;2.2718E-10;2.4517E-10
Sm165;3.7584E-12;4.0106E-12
Eu151;0.0;0.0
Eu153;0.0;0.0
Eu154;3.0405E-11;1.288E-11
Eu154m;2.7389E-11;1.1602E-11
Eu155;2.4798E-9;1.0321E-9
Eu156;1.9313E-8;7.337E-9
Eu157;2.6093E-7;9.2588E-8
Eu158;3.8592E-7;1.4396E-7
Eu159;1.4948E-6;4.8969E-7
Eu160;6.9853E-7;7.4778E-7
Eu161;3.4701E-7;8.701E-8
Eu162;3.1513E-7;3.2936E-7
Eu163;1.4257E-7;1.4676E-7
Eu164;1.2974E-8;1.3871E-8
Eu165;2.6883E-9;2.8552E-9
Eu166;9.4087E-11;1.0018E-10
Eu167;4.5226E-12;4.8508E-12
Gd154;0.0;0.0
Gd155;0.0;0.0
Gd156;0.0;0.0
Gd157;5.0101E-11;1.7819E-11
Gd158;9.8213E-10;3.7085E-10
Gd159;5.8826E-9;2.1408E-9
Gd160;5.3549E-8;5.82E-8
Gd161;2.1595E-8;7.9332E-9
Gd162;1.9506E-7;2.0744E-7
