Product;Yield;Error
Mo97;8.7976E-7;3.0843E-7
Mo98;2.4669E-5;8.646E-6
Mo99;1.4749E-4;5.3327E-5
Mo100;9.6688E-4;3.7186E-4
Mo101;0.0028051;0.0010418
Mo102;0.0070418;0.0022434
Mo103;0.0091626;0.002361
Mo104;0.010521;0.0016684
Mo105;0.0062127;7.9168E-4
Mo106;0.0030774;3.1429E-4
Mo107;6.5861E-4;1.3183E-4
Mo108;1.5648E-4;4.1804E-5
Mo109;3.4813E-5;1.1143E-5
Mo110;3.6146E-6;1.3147E-6
Mo111;1.6438E-8;5.8151E-9
Mo112;5.1885E-10;1.9268E-10
Mo113;7.5228E-12;2.7379E-12
Tc99;0.0;0.0
Tc99m;0.0;0.0
Tc100;1.0741E-8;4.0799E-9
Tc101;1.0759E-5;3.9586E-6
Tc102;4.1808E-5;1.5131E-5
Tc102m;4.1808E-5;1.5131E-5
Tc103;2.9755E-4;1.1044E-4
Tc104;5.6214E-4;2.1629E-4
Tc105;8.4576E-4;3.1445E-4
Tc106;6.4468E-4;2.4237E-4
Tc107;6.1328E-4;1.3138E-4
Tc108;3.1946E-4;5.3123E-5
Tc109;1.5452E-4;2.8158E-5
Tc110;9.0831E-5;2.2486E-5
Tc111;3.6714E-5;1.0434E-5
Tc112;4.3594E-6;1.5584E-6
Tc113;1.4882E-6;5.3544E-7
Tc114;1.0588E-6;3.7478E-7
Tc115;8.4259E-11;3.1143E-11
Ru99;0.0;0.0
Ru100;0.0;0.0
Ru101;0.0;0.0
Ru102;2.3062E-6;8.3121E-7
Ru103;1.0372E-6;3.7772E-7
Ru103m;2.5041E-6;9.1188E-7
Ru104;2.3722E-5;9.7119E-6
Ru105;4.1341E-5;2.0573E-5
Ru106;5.4091E-5;4.3194E-5
Ru107;6.7962E-5;3.6967E-5
Ru108;8.3635E-5;3.5532E-5
Ru109;8.9448E-5;2.6614E-5
Ru110;1.4028E-4;2.5677E-5
Ru111;1.1145E-4;1.7605E-5
Ru112;7.1524E-5;1.1436E-5
Ru113;2.0329E-5;5.8575E-6
Ru113m;2.0329E-5;5.8575E-6
Ru114;1.9208E-5;6.0291E-6
Ru115;3.7954E-6;1.3667E-6
Ru116;2.7003E-6;1.0342E-6
Ru117;5.0059E-10;1.7825E-10
Ru118;1.7875E-11;6.1264E-12
Ru119;6.6446E-8;2.2629E-8
Ru120;5.3615E-9;1.8763E-9
Rh103;0.0;0.0
Rh103m;0.0;0.0
Rh105;1.3575E-9;5.5336E-10
Rh105m;2.0752E-10;8.4592E-11
Rh106;5.2533E-9;2.4266E-9
Rh106m;1.2305E-8;5.6836E-9
Rh107;3.1481E-7;1.2535E-7
Rh108;8.885E-7;3.3803E-7
Rh108m;2.6812E-6;1.0201E-6
Rh109;4.7106E-6;1.7203E-6
Rh110;1.203E-5;4.3796E-6
Rh110m;3.2113E-7;1.1691E-7
Rh111;4.1365E-5;1.2668E-5
Rh112;1.6463E-5;4.8701E-6
Rh112m;1.6463E-5;4.8701E-6
Rh113;8.8352E-5;1.5098E-5
Rh114;2.4416E-5;5.8925E-6
Rh114m;2.4416E-5;5.8925E-6
Rh115;5.0787E-5;1.167E-5
Rh116;5.2824E-6;1.8894E-6
Rh116m;1.2373E-5;4.4254E-6
Rh117;7.6084E-6;2.5903E-6
Rh118;3.9775E-6;1.3372E-6
Rh119;2.0022E-5;6.11E-6
Rh120;2.4818E-6;8.5689E-7
Rh121;3.8236E-7;1.4095E-7
Rh122;1.8085E-8;6.6951E-9
Pd105;0.0;0.0
Pd106;0.0;0.0
Pd107;0.0;0.0
Pd108;6.4757E-10;2.4492E-10
Pd109;2.7216E-9;9.9515E-10
Pd109m;5.1149E-9;1.8702E-9
Pd110;2.5416E-7;9.3946E-8
Pd111;2.457E-6;8.5495E-7
Pd111m;4.6177E-6;1.6067E-6
Pd112;8.5425E-6;3.0347E-6
Pd113;7.693E-6;2.4855E-6
Pd113m;1.8572E-5;6.0004E-6
Pd114;5.7856E-5;1.2394E-5
Pd115;1.8816E-5;4.103E-6
Pd115m;3.5362E-5;7.711E-6
Pd116;1.1979E-4;1.2179E-5
Pd117;2.3272E-5;4.6556E-6
Pd117m;4.3737E-5;8.7494E-6
Pd118;7.2631E-5;1.5615E-5
Pd119;2.5381E-5;7.5693E-6
Pd120;1.3712E-5;4.4686E-6
Pd121;1.3219E-6;4.8446E-7
Pd122;1.2819E-5;4.4392E-6
Pd123;9.0631E-7;3.2508E-7
Pd124;2.2504E-7;8.0403E-8
Ag109;0.0;0.0
Ag109m;0.0;0.0
Ag110;5.1211E-12;1.8933E-12
Ag110m;1.1995E-11;4.4345E-12
Ag111;1.6462E-10;5.8246E-11
Ag111m;1.0769E-9;3.8101E-10
Ag112;1.2622E-8;4.687E-9
Ag113;1.9606E-7;7.0998E-8
Ag113m;1.2825E-6;4.6443E-7
Ag114;2.0247E-7;7.1995E-8
Ag114m;8.5153E-7;3.0278E-7
Ag115;5.005E-7;1.8121E-7
Ag115m;3.274E-6;1.1854E-6
Ag116;4.7962E-6;1.7543E-6
Ag116m;1.1234E-5;4.1091E-6
Ag117;6.6865E-6;1.669E-6
Ag117m;4.3739E-5;1.0918E-5
Ag118;9.5862E-6;2.529E-6
Ag118m;4.0316E-5;1.0636E-5
Ag119;1.0443E-5;1.9828E-6
Ag119m;6.8314E-5;1.297E-5
Ag120;2.2215E-5;5.6673E-6
Ag120m;3.1523E-5;8.0417E-6
Ag121;2.9591E-5;8.9367E-6
Ag122;7.2718E-6;2.52E-6
Ag122m;6.5502E-6;2.2699E-6
Ag123;2.57E-6;9.1169E-7
Ag124;3.5729E-6;1.2358E-6
Ag124m;3.2183E-6;1.1132E-6
Ag125;3.483E-6;1.1875E-6
Ag126;1.3673E-6;4.5387E-7
Ag127;9.3548E-7;3.0109E-7
Ag128;1.589E-8;5.2201E-9
Ag129;9.9181E-10;3.416E-10
Cd110;0.0;0.0
Cd111;0.0;0.0
Cd112;0.0;0.0
Cd113;1.7611E-11;6.4092E-12
Cd113m;5.7617E-11;2.0969E-11
Cd114;4.1826E-9;1.4947E-9
Cd115;1.1348E-8;4.1934E-9
Cd115m;3.7128E-8;1.372E-8
Cd116;2.6862E-6;1.0342E-6
Cd117;6.6356E-7;2.333E-7
Cd117m;2.1709E-6;7.6329E-7
Cd118;2.2222E-5;6.9548E-6
Cd119;9.7808E-6;2.843E-6
Cd119m;2.3612E-5;6.8633E-6
Cd120;7.7853E-5;1.5769E-5
Cd121;2.4316E-5;3.262E-6
Cd121m;5.8703E-5;7.875E-6
Cd122;1.2264E-4;1.6287E-5
Cd123;2.044E-5;4.0543E-6
Cd123m;4.9345E-5;9.7877E-6
Cd124;1.2782E-4;2.2768E-5
Cd125;3.4735E-5;7.2311E-6
Cd125m;8.3855E-5;1.7457E-5
Cd126;1.8876E-4;3.681E-5
Cd127;1.4772E-4;3.4016E-5
Cd128;8.7524E-5;2.3883E-5
Cd129;8.4953E-6;2.7262E-6
Cd129m;2.0509E-5;6.5814E-6
Cd130;1.1133E-5;3.942E-6
Cd131;2.11E-8;7.3665E-9
In113;0.0;0.0
In115;6.8435E-12;2.5294E-12
In115m;1.5824E-12;5.8487E-13
In116;9.6944E-11;3.7621E-11
In116m;1.4859E-10;5.7664E-11
In116n;1.4392E-10;5.585E-11
In117;1.3543E-8;4.8222E-9
In117m;3.1314E-9;1.115E-9
In118;4.8799E-8;1.6721E-8
In118m;7.4797E-8;2.5629E-8
In118n;7.2444E-8;2.4823E-8
In119;7.1508E-11;2.4362E-11
In119m;1.6534E-11;5.6331E-12
In120;1.7847E-6;6.1917E-7
In120m;1.7847E-6;6.1917E-7
In120n;1.7847E-6;6.1917E-7
In121;1.034E-5;3.674E-6
In121m;2.3909E-6;8.4951E-7
In122;1.296E-5;4.504E-6
In122m;9.195E-6;3.1955E-6
In122n;9.195E-6;3.1955E-6
In123;4.7327E-5;1.1259E-5
In123m;1.0943E-5;2.6035E-6
In124;3.9413E-5;1.1147E-5
In124m;3.5503E-5;1.004E-5
In125;1.0553E-4;2.2658E-5
In125m;2.4401E-5;5.2391E-6
In126;1.1288E-4;2.7001E-5
In126m;1.0168E-4;2.4322E-5
In127;4.3325E-4;9.558E-5
In127m;1.0018E-4;2.21E-5
In128;2.9682E-4;7.7887E-5
In128m;1.2082E-4;3.1705E-5
In128n;3.762E-4;9.8718E-5
In129;8.1219E-4;2.1848E-4
In129m;1.878E-4;5.0518E-5
In130;1.4866E-4;4.7667E-5
In130m;1.6604E-4;5.324E-5
In130n;2.825E-4;9.0584E-5
In131;6.7727E-5;2.2759E-5
In131m;6.7727E-5;2.2759E-5
In131n;6.7727E-5;2.2759E-5
In132;1.0603E-5;3.6297E-6
In133;4.6663E-7;1.6618E-7
In133m;1.079E-7;3.8424E-8
In134;6.9594E-9;2.6587E-9
Sn115;0.0;0.0
Sn116;0.0;0.0
Sn117;0.0;0.0
Sn117m;0.0;0.0
Sn118;7.7456E-11;2.6547E-11
Sn119;0.0;0.0
Sn119m;0.0;0.0
Sn120;0.0;0.0
Sn121;1.7438E-12;6.4453E-13
Sn121m;4.2097E-12;1.556E-12
Sn122;3.3812E-6;1.2466E-6
Sn123;4.4771E-6;1.5798E-6
Sn123m;1.8546E-6;6.544E-7
Sn124;3.9692E-5;1.311E-5
Sn125;3.3594E-5;1.0737E-5
Sn125m;1.3915E-5;4.4474E-6
Sn126;1.7055E-4;4.7317E-5
Sn127;3.7483E-4;8.4612E-5
Sn127m;1.5526E-4;3.5048E-5
Sn128;6.764E-4;7.4387E-5
Sn128m;0.0015843;1.7423E-4
Sn129;0.0016852;1.6682E-4
Sn129m;0.0040683;4.0274E-4
Sn130;0.0036458;5.0298E-4
Sn130m;0.0085392;0.0011781
Sn131;0.0033309;6.5908E-4
Sn131m;0.0080411;0.0015911
Sn132;0.0073672;0.0018739
Sn133;9.5862E-4;3.3046E-4
Sn134;1.0888E-4;4.1441E-5
Sn135;9.9098E-6;3.6238E-6
Sn136;8.9273E-7;3.1311E-7
Sb121;0.0;0.0
Sb123;0.0;0.0
Sb124;2.6892E-11;9.62E-12
Sb124m;2.0562E-11;7.3556E-12
Sb124n;2.781E-11;9.9484E-12
Sb125;3.4432E-6;1.1877E-6
Sb126;3.0031E-6;9.9795E-7
Sb126m;2.2204E-6;7.3786E-7
