;Product;Yield;Error;Z;N
953;Yb173;0.0;0.0;70;103
954;Yb174;0.0;0.0;70;104
955;Yb175;0.0;0.0;70;105
956;Yb175m;0.0;0.0;70;105
957;Yb176;0.0;0.0;70;106
958;Yb176m;0.0;0.0;70;106
959;Yb177;0.0;0.0;70;107
960;Yb177m;0.0;0.0;70;107
961;Lu175;0.0;0.0;71;104
962;Lu177;0.0;0.0;71;106
963;Hf177;0.0;0.0;72;105
