;Product;Yield;Error;Z;N
380;Tc105;0.00084576;0.00031445;43;62
381;Tc106;0.00064468;0.00024237;43;63
382;Tc107;0.00061328;0.00013138;43;64
383;Tc108;0.00031946;5.3123e-05;43;65
384;Tc109;0.00015452;2.8158e-05;43;66
385;Tc110;9.0831e-05;2.2485999999999998e-05;43;67
386;Tc111;3.6714e-05;1.0434e-05;43;68
387;Tc112;4.3594e-06;1.5584e-06;43;69
388;Tc113;1.4882e-06;5.354399999999999e-07;43;70
389;Tc114;1.0588e-06;3.7478e-07;43;71
390;Tc115;8.4259e-11;3.1143e-11;43;72
391;Ru99;0.0;0.0;44;55
392;Ru100;0.0;0.0;44;56
393;Ru101;0.0;0.0;44;57
394;Ru102;2.3062e-06;8.3121e-07;44;58
395;Ru103;1.0372e-06;3.7771999999999997e-07;44;59
396;Ru103m;2.5041e-06;9.118799999999999e-07;44;59
397;Ru104;2.3721999999999998e-05;9.711900000000001e-06;44;60
398;Ru105;4.1341e-05;2.0573e-05;44;61
399;Ru106;5.4091e-05;4.319399999999999e-05;44;62
400;Ru107;6.7962e-05;3.6967e-05;44;63
401;Ru108;8.3635e-05;3.5532e-05;44;64
402;Ru109;8.944799999999999e-05;2.6614e-05;44;65
403;Ru110;0.00014028;2.5676999999999998e-05;44;66
404;Ru111;0.00011145;1.7605e-05;44;67
405;Ru112;7.1524e-05;1.1435999999999999e-05;44;68
406;Ru113;2.0329e-05;5.8575e-06;44;69
407;Ru113m;2.0329e-05;5.8575e-06;44;69
408;Ru114;1.9208e-05;6.0291e-06;44;70
409;Ru115;3.7954e-06;1.3667e-06;44;71
410;Ru116;2.7003e-06;1.0342e-06;44;72
411;Ru117;5.0059e-10;1.7825e-10;44;73
412;Ru118;1.7875e-11;6.1264e-12;44;74
413;Ru119;6.6446e-08;2.2629e-08;44;75
414;Ru120;5.3615000000000006e-09;1.8763e-09;44;76
415;Rh103;0.0;0.0;45;58
416;Rh103m;0.0;0.0;45;58
417;Rh105;1.3575000000000001e-09;5.5336e-10;45;60
418;Rh105m;2.0752e-10;8.459200000000002e-11;45;60
419;Rh106;5.2533e-09;2.4266e-09;45;61
420;Rh106m;1.2305e-08;5.6836000000000005e-09;45;61
421;Rh107;3.1481e-07;1.2535e-07;45;62
422;Rh108;8.884999999999999e-07;3.3803000000000007e-07;45;63
423;Rh108m;2.6812e-06;1.0201e-06;45;63
424;Rh109;4.7106e-06;1.7203e-06;45;64
425;Rh110;1.203e-05;4.3795999999999995e-06;45;65
426;Rh110m;3.2113e-07;1.1690999999999999e-07;45;65
427;Rh111;4.1365e-05;1.2668e-05;45;66
428;Rh112;1.6462999999999998e-05;4.8701e-06;45;67
429;Rh112m;1.6462999999999998e-05;4.8701e-06;45;67
430;Rh113;8.835200000000001e-05;1.5098e-05;45;68
431;Rh114;2.4415999999999998e-05;5.8925e-06;45;69
432;Rh114m;2.4415999999999998e-05;5.8925e-06;45;69
433;Rh115;5.0787e-05;1.167e-05;45;70
434;Rh116;5.2824000000000004e-06;1.8894e-06;45;71
435;Rh116m;1.2373e-05;4.4254e-06;45;71
436;Rh117;7.608400000000001e-06;2.5902999999999996e-06;45;72
437;Rh118;3.9775e-06;1.3372e-06;45;73
438;Rh119;2.0022e-05;6.11e-06;45;74
439;Rh120;2.4818e-06;8.568899999999999e-07;45;75
440;Rh121;3.8236e-07;1.4095e-07;45;76
441;Rh122;1.8085e-08;6.6951e-09;45;77
442;Pd105;0.0;0.0;46;59
443;Pd106;0.0;0.0;46;60
444;Pd107;0.0;0.0;46;61
445;Pd108;6.475700000000001e-10;2.4492e-10;46;62
446;Pd109;2.7216e-09;9.9515e-10;46;63
447;Pd109m;5.1149e-09;1.8702e-09;46;63
448;Pd110;2.5416e-07;9.3946e-08;46;64
449;Pd111;2.457e-06;8.549500000000001e-07;46;65
450;Pd111m;4.6177e-06;1.6066999999999998e-06;46;65
451;Pd112;8.5425e-06;3.0347000000000004e-06;46;66
452;Pd113;7.692999999999999e-06;2.4855e-06;46;67
453;Pd113m;1.8572e-05;6.000399999999999e-06;46;67
454;Pd114;5.7856e-05;1.2394e-05;46;68
455;Pd115;1.8816e-05;4.103e-06;46;69
456;Pd115m;3.5362e-05;7.711e-06;46;69
457;Pd116;0.00011979;1.2179000000000001e-05;46;70
458;Pd117;2.3271999999999997e-05;4.6556e-06;46;71
459;Pd117m;4.3737e-05;8.749400000000001e-06;46;71
460;Pd118;7.2631e-05;1.5615e-05;46;72
461;Pd119;2.5381e-05;7.5693e-06;46;73
462;Pd120;1.3712e-05;4.4686e-06;46;74
463;Pd121;1.3219e-06;4.8446e-07;46;75
464;Pd122;1.2819e-05;4.4392e-06;46;76
465;Pd123;9.0631e-07;3.2508000000000005e-07;46;77
466;Pd124;2.2504e-07;8.040300000000001e-08;46;78
467;Ag109;0.0;0.0;47;62
468;Ag109m;0.0;0.0;47;62
469;Ag110;5.1211e-12;1.8933e-12;47;63
470;Ag110m;1.1994999999999998e-11;4.4345e-12;47;63
471;Ag111;1.6462000000000002e-10;5.8246e-11;47;64
472;Ag111m;1.0769e-09;3.8100999999999996e-10;47;64
473;Ag112;1.2622e-08;4.687e-09;47;65
474;Ag113;1.9605999999999997e-07;7.0998e-08;47;66
475;Ag113m;1.2825e-06;4.6443000000000004e-07;47;66
476;Ag114;2.0246999999999999e-07;7.199499999999999e-08;47;67
477;Ag114m;8.515299999999999e-07;3.0278e-07;47;67
478;Ag115;5.005e-07;1.8121e-07;47;68
479;Ag115m;3.274e-06;1.1854000000000001e-06;47;68
480;Ag116;4.7962e-06;1.7543e-06;47;69
481;Ag116m;1.1234000000000001e-05;4.1091e-06;47;69
482;Ag117;6.6864999999999994e-06;1.669e-06;47;70
483;Ag117m;4.3738999999999996e-05;1.0918e-05;47;70
484;Ag118;9.5862e-06;2.5290000000000003e-06;47;71
485;Ag118m;4.0316e-05;1.0636e-05;47;71
486;Ag119;1.0443e-05;1.9828e-06;47;72
487;Ag119m;6.8314e-05;1.297e-05;47;72
488;Ag120;2.2215e-05;5.6673e-06;47;73
489;Ag120m;3.1523e-05;8.0417e-06;47;73
490;Ag121;2.9591e-05;8.9367e-06;47;74
491;Ag122;7.2717999999999996e-06;2.52e-06;47;75
492;Ag122m;6.5501999999999996e-06;2.2699e-06;47;75
493;Ag123;2.57e-06;9.116899999999999e-07;47;76
494;Ag124;3.5729e-06;1.2357999999999999e-06;47;77
495;Ag124m;3.2182999999999997e-06;1.1132e-06;47;77
496;Ag125;3.483e-06;1.1875e-06;47;78
497;Ag126;1.3672999999999998e-06;4.5387000000000003e-07;47;79
498;Ag127;9.354799999999999e-07;3.0109e-07;47;80
499;Ag128;1.589e-08;5.220100000000001e-09;47;81
500;Ag129;9.9181e-10;3.4160000000000004e-10;47;82
501;Cd110;0.0;0.0;48;62
502;Cd111;0.0;0.0;48;63
503;Cd112;0.0;0.0;48;64
504;Cd113;1.7611e-11;6.4092e-12;48;65
505;Cd113m;5.7617e-11;2.0969e-11;48;65
506;Cd114;4.1826e-09;1.4947e-09;48;66
507;Cd115;1.1348e-08;4.1934e-09;48;67
508;Cd115m;3.7128e-08;1.3719999999999998e-08;48;67
509;Cd116;2.6862000000000002e-06;1.0342e-06;48;68
510;Cd117;6.6356e-07;2.3329999999999998e-07;48;69
511;Cd117m;2.1709e-06;7.632899999999999e-07;48;69
512;Cd118;2.2222e-05;6.9548e-06;48;70
513;Cd119;9.7808e-06;2.843e-06;48;71
514;Cd119m;2.3611999999999997e-05;6.8633e-06;48;71
515;Cd120;7.7853e-05;1.5769e-05;48;72
516;Cd121;2.4316e-05;3.262e-06;48;73
517;Cd121m;5.8703000000000004e-05;7.875e-06;48;73
518;Cd122;0.00012264;1.6287000000000002e-05;48;74
519;Cd123;2.044e-05;4.0543e-06;48;75
520;Cd123m;4.9345e-05;9.7877e-06;48;75
521;Cd124;0.00012782;2.2768000000000003e-05;48;76
522;Cd125;3.4735e-05;7.2311e-06;48;77
523;Cd125m;8.3855e-05;1.7457e-05;48;77
524;Cd126;0.00018876;3.681e-05;48;78
525;Cd127;0.00014772;3.4016e-05;48;79
526;Cd128;8.7524e-05;2.3883e-05;48;80
527;Cd129;8.4953e-06;2.7262e-06;48;81
528;Cd129m;2.0509e-05;6.5814e-06;48;81
529;Cd130;1.1133e-05;3.942e-06;48;82
530;Cd131;2.11e-08;7.3665e-09;48;83
531;In113;0.0;0.0;49;64
532;In115;6.8435e-12;2.5294e-12;49;66
533;In115m;1.5824e-12;5.8487e-13;49;66
534;In116;9.694400000000001e-11;3.7621000000000004e-11;49;67
535;In116m;1.4859e-10;5.7663999999999993e-11;49;67
536;In116n;1.4391999999999998e-10;5.5850000000000006e-11;49;67
537;In117;1.3543000000000001e-08;4.8222e-09;49;68
538;In117m;3.1314e-09;1.115e-09;49;68
539;In118;4.8799e-08;1.6720999999999998e-08;49;69
540;In118m;7.4797e-08;2.5629e-08;49;69
541;In118n;7.2444e-08;2.4823e-08;49;69
542;In119;7.1508e-11;2.4361999999999998e-11;49;70
543;In119m;1.6534000000000002e-11;5.6331e-12;49;70
544;In120;1.7847e-06;6.191700000000001e-07;49;71
545;In120m;1.7847e-06;6.191700000000001e-07;49;71
546;In120n;1.7847e-06;6.191700000000001e-07;49;71
547;In121;1.034e-05;3.674e-06;49;72
548;In121m;2.3909e-06;8.4951e-07;49;72
549;In122;1.296e-05;4.5039999999999996e-06;49;73
550;In122m;9.195e-06;3.1955e-06;49;73
551;In122n;9.195e-06;3.1955e-06;49;73
552;In123;4.7326999999999996e-05;1.1259e-05;49;74
553;In123m;1.0943e-05;2.6035e-06;49;74
554;In124;3.9413000000000004e-05;1.1147e-05;49;75
555;In124m;3.5503e-05;1.004e-05;49;75
556;In125;0.00010553;2.2658000000000002e-05;49;76
557;In125m;2.4401e-05;5.2390999999999995e-06;49;76
558;In126;0.00011288;2.7000999999999998e-05;49;77
559;In126m;0.00010168;2.4322e-05;49;77
560;In127;0.00043325;9.558e-05;49;78
561;In127m;0.00010018;2.2100000000000002e-05;49;78
562;In128;0.00029682;7.7887e-05;49;79
563;In128m;0.00012082;3.1705e-05;49;79
564;In128n;0.0003762;9.8718e-05;49;79
565;In129;0.00081219;0.00021848;49;80
566;In129m;0.0001878;5.0518e-05;49;80
567;In130;0.00014866;4.7666999999999996e-05;49;81
568;In130m;0.00016604;5.324e-05;49;81
569;In130n;0.00028250000000000004;9.0584e-05;49;81
570;In131;6.7727e-05;2.2759e-05;49;82
571;In131m;6.7727e-05;2.2759e-05;49;82
572;In131n;6.7727e-05;2.2759e-05;49;82
573;In132;1.0603e-05;3.6297e-06;49;83
574;In133;4.6663000000000004e-07;1.6618e-07;49;84
575;In133m;1.079e-07;3.8424e-08;49;84
576;In134;6.9594e-09;2.6587e-09;49;85
577;Sn115;0.0;0.0;50;65
578;Sn116;0.0;0.0;50;66
579;Sn117;0.0;0.0;50;67
580;Sn117m;0.0;0.0;50;67
581;Sn118;7.7456e-11;2.6546999999999998e-11;50;68
582;Sn119;0.0;0.0;50;69
583;Sn119m;0.0;0.0;50;69
584;Sn120;0.0;0.0;50;70
585;Sn121;1.7438e-12;6.4453e-13;50;71
586;Sn121m;4.2097e-12;1.5560000000000002e-12;50;71
587;Sn122;3.3812e-06;1.2466e-06;50;72
588;Sn123;4.4771e-06;1.5797999999999999e-06;50;73
589;Sn123m;1.8546e-06;6.543999999999999e-07;50;73
590;Sn124;3.9692e-05;1.311e-05;50;74
591;Sn125;3.3594000000000004e-05;1.0737e-05;50;75
592;Sn125m;1.3915e-05;4.4474e-06;50;75
593;Sn126;0.00017055;4.7317e-05;50;76
594;Sn127;0.00037483;8.461200000000001e-05;50;77
595;Sn127m;0.00015526;3.5048e-05;50;77
596;Sn128;0.0006764;7.4387e-05;50;78
597;Sn128m;0.0015843;0.00017423;50;78
598;Sn129;0.0016852;0.00016682;50;79
599;Sn129m;0.0040683;0.00040274;50;79
600;Sn130;0.0036458;0.00050298;50;80
601;Sn130m;0.0085392;0.0011780999999999999;50;80
602;Sn131;0.0033309;0.00065908;50;81
603;Sn131m;0.0080411;0.0015911;50;81
604;Sn132;0.0073672;0.0018739000000000002;50;82
605;Sn133;0.00095862;0.00033046;50;83
606;Sn134;0.00010888;4.1441000000000005e-05;50;84
607;Sn135;9.9098e-06;3.6238e-06;50;85
608;Sn136;8.927299999999999e-07;3.1311e-07;50;86
609;Sb121;0.0;0.0;51;70
610;Sb123;0.0;0.0;51;72
611;Sb124;2.6892e-11;9.62e-12;51;73
612;Sb124m;2.0562e-11;7.3556e-12;51;73
613;Sb124n;2.7810000000000002e-11;9.9484e-12;51;73
614;Sb125;3.4432e-06;1.1876999999999999e-06;51;74
615;Sb126;3.0031e-06;9.979500000000001e-07;51;75
616;Sb126m;2.2204e-06;7.3786e-07;51;75
617;Sb126n;2.9039e-06;9.65e-07;51;75
618;Sb127;2.8699999999999996e-05;9.2021e-06;51;76
619;Sb128;7.0334e-05;2.2732e-05;51;77
620;Sb128m;0.00012002;3.8788e-05;51;77
621;Sb129;0.00078866;0.00025635;51;78
622;Sb129m;0.00048194;0.00015665;51;78
623;Sb130;0.0025329999999999997;0.00077515;51;79
624;Sb130m;0.0025329999999999997;0.00077515;51;79
625;Sb131;0.013297;0.0025175;51;80
626;Sb132;0.01179;0.0021798;51;81
627;Sb132m;0.0086897;0.0016065;51;81
628;Sb133;0.024142;0.0048678;51;82
629;Sb134;0.0019194000000000004;0.00066013;51;83
630;Sb134m;0.0044957;0.0015462;51;83
631;Sb135;0.0014046;0.0005007;51;84
632;Sb136;0.00021462;7.4954e-05;51;85
633;Sb137;2.2588e-05;8.0374e-06;51;86
634;Sb138;3.9391999999999997e-07;1.4699000000000002e-07;51;87
635;Sb139;1.2132e-08;4.3945e-09;51;88
636;Te124;0.0;0.0;52;72
637;Te125;0.0;0.0;52;73
638;Te125m;0.0;0.0;52;73
639;Te126;2.4392e-11;8.1379e-12;52;74
640;Te127;5.4641e-07;1.7633e-07;52;75
641;Te127m;1.3191e-06;4.2567e-07;52;75
642;Te128;5.419600000000001e-06;1.7797999999999999e-06;52;76
643;Te129;2.4565e-05;8.439299999999999e-06;52;77
644;Te129m;5.930399999999999e-05;2.0374000000000002e-05;52;77
645;Te130;0.00080301;0.00029072;52;78
646;Te131;0.0012624000000000001;0.00040915;52;79
647;Te131m;0.0030475000000000003;0.00098775;52;79
648;Te132;0.015041999999999998;0.0036125;52;80
649;Te133;0.011536;0.0014861;52;81
650;Te133m;0.02785;0.0035876;52;81
651;Te134;0.063001;0.0041485;52;82
652;Te135;0.034776999999999995;0.0054889;52;83
653;Te136;0.016652;0.004203;52;84
654;Te137;0.004843999999999999;0.0015974000000000001;52;85
655;Te138;0.0011279999999999999;0.00041453;52;86
656;Te139;0.00016977;6.1363e-05;52;87
657;Te140;2.4771e-05;8.7074e-06;52;88
658;Te141;6.0694e-08;2.1076000000000003e-08;52;89
659;Te142;2.3176999999999996e-09;8.2576e-10;52;90
660;I127;0.0;0.0;53;74
661;I129;3.6366e-09;1.2525e-09;53;76
662;I130;1.5116e-06;5.529e-07;53;77
663;I130m;6.453399999999999e-07;2.3605e-07;53;77
664;I131;2.9604e-05;1.0333e-05;53;78
665;I132;0.00016349;5.5941000000000005e-05;53;79
666;I132m;0.0001205;4.1228999999999994e-05;53;79
667;I133;0.0012301999999999999;0.00043312;53;80
668;I133m;0.00075174;0.00026468;53;80
669;I134;0.0044173;0.0015765;53;81
670;I134m;0.0032556999999999994;0.0011619000000000002;53;81
671;I135;0.024635;0.0053729;53;82
672;I136;0.009090299999999999;0.0016331;53;83
673;I136m;0.021292;0.0038251999999999995;53;83
674;I137;0.027025999999999998;0.0053108;53;84
675;I138;0.012419;0.0038407;53;85
676;I139;0.007384600000000001;0.0024263;53;86
677;I140;0.0019313;0.00066619;53;87
678;I141;0.00046843;0.00016186;53;88
679;I142;4.6773e-05;1.6658e-05;53;89
680;I143;4.3187e-06;1.6019e-06;53;90
681;I144;7.4082e-09;2.7318000000000004e-09;53;91
682;Xe130;0.0;0.0;54;76
683;Xe131;2.06e-10;7.192199999999999e-11;54;77
684;Xe131m;4.9731e-10;1.7363e-10;54;77
685;Xe132;1.654e-06;5.6717e-07;54;78
686;Xe132m;1.8747999999999998e-06;6.429300000000001e-07;54;78
687;Xe133;1.2449e-05;4.4328e-06;54;79
688;Xe133m;3.0053000000000002e-05;1.0701e-05;54;79
689;Xe134;0.00010471;3.9919e-05;54;80
690;Xe134m;0.00024527;9.3501e-05;54;80
691;Xe135;0.00073122;0.00026037;54;81
692;Xe135m;0.0017652999999999998;0.00062856;54;81
693;Xe136;0.016028;0.0042176;54;82
694;Xe137;0.029632;0.005333;54;83
695;Xe138;0.049826;0.0045003;54;84
696;Xe139;0.043433;0.0047758;54;85
697;Xe140;0.038343;0.0050983999999999995;54;86
698;Xe141;0.019466;0.0046566;54;87
699;Xe142;0.0068491;0.0022627;54;88
700;Xe143;0.0018222000000000002;0.00066902;54;89
701;Xe144;0.00031546;0.00011624;54;90
702;Xe145;3.1726999999999996e-05;1.0898e-05;54;91
703;Xe146;5.5535e-06;1.8576e-06;54;92
704;Xe147;5.3848e-10;1.8630000000000002e-10;54;93
705;Cs133;0.0;0.0;55;78
706;Cs134;1.0016e-08;3.8264999999999996e-09;55;79
707;Cs134m;7.3819999999999995e-09;2.8202e-09;55;79
708;Cs135;5.590299999999999e-07;2.0449999999999998e-07;55;80
709;Cs135m;3.4162e-07;1.2495999999999998e-07;55;80
710;Cs136;2.2516e-05;7.893200000000001e-06;55;81
711;Cs136m;1.3195e-05;4.6258e-06;55;81
712;Cs137;0.00081095;0.00028555;55;82
713;Cs138;0.00139;0.00049715;55;83
714;Cs138m;0.0019722999999999997;0.00070544;55;83
715;Cs139;0.011949;0.0035481;55;84
716;Cs140;0.018194;0.0045685000000000005;55;85
717;Cs141;0.02908;0.0050927;55;86
718;Cs142;0.023329;0.0049473;55;87
719;Cs143;0.015681999999999998;0.0045113;55;88
720;Cs144;0.0034328;0.001201;55;89
721;Cs144m;0.0034328;0.001201;55;89
722;Cs145;0.0019680999999999995;0.00066865;55;90
723;Cs146;0.00032346;0.00010806;55;91
724;Cs147;6.650800000000001e-05;2.3007e-05;55;92
725;Cs148;2.7207e-06;1.0027e-06;55;93
726;Cs149;2.8061999999999997e-09;9.9823e-10;55;94
727;Ba134;0.0;0.0;56;78
728;Ba136;2.671e-07;9.368299999999999e-08;56;80
729;Ba136m;6.256100000000001e-07;2.1943000000000003e-07;56;80
730;Ba137;2.0354e-06;7.244899999999999e-07;56;81
731;Ba137m;4.9138e-06;1.7490000000000001e-06;56;81
732;Ba138;0.00013944;5.1897e-05;56;82
733;Ba139;0.00085377;0.00030401;56;83
734;Ba140;0.0050254;0.0015902000000000002;56;84
735;Ba141;0.0095955;0.0027041;56;85
736;Ba142;0.027620999999999996;0.004862600000000001;56;86
737;Ba143;0.039932999999999996;0.0048272;56;87
738;Ba144;0.041418;0.0034735;56;88
739;Ba145;0.023553;0.0031561;56;89
740;Ba146;0.010771;0.0025434;56;90
741;Ba147;0.0038881000000000002;0.0012549000000000002;56;91
742;Ba148;0.00087512;0.00032138;56;92
743;Ba149;0.00012213;4.3407e-05;56;93
744;Ba150;1.0524000000000001e-05;3.503e-06;56;94
745;Ba151;6.6796e-09;2.1911e-09;56;95
746;Ba152;1.0153000000000001e-10;3.5622e-11;56;96
747;La139;1.9412e-08;7.031300000000001e-09;57;82
748;La140;6.462799999999999e-06;2.2719e-06;57;83
749;La141;0.00010678;3.6952e-05;57;84
750;La142;0.00031629;0.00011162;57;85
751;La143;0.0021561999999999996;0.00075324;57;86
752;La144;0.0056665;0.0017919000000000001;57;87
753;La145;0.012709;0.0028734999999999998;57;88
754;La146;0.004640600000000001;0.00091933;57;89
755;La146m;0.0083474;0.0016537;57;89
756;La147;0.0094631;0.0019158;57;90
757;La148;0.0047001000000000005;0.0014067;57;91
758;La149;0.0018628;0.00062424;57;92
759;La150;0.00048783;0.00016045;57;93
760;La151;8.656700000000001e-05;2.8346e-05;57;94
761;La152;1.1309000000000001e-05;3.9664e-06;57;95
762;La153;2.2025999999999998e-08;8.490799999999999e-09;57;96
763;La154;1.3004e-10;5.5082e-11;57;97
764;Ce140;0.0;0.0;58;82
765;Ce141;1.4115e-09;4.9015e-10;58;83
766;Ce142;1.0956e-05;3.9006e-06;58;84
767;Ce143;4.7634e-05;1.7612e-05;58;85
768;Ce144;0.00041193;0.00014807;58;86
769;Ce145;0.0015366;0.00048177;58;87
770;Ce146;0.0058891;0.0013762;58;88
771;Ce147;0.0089443;0.0016671;58;89
772;Ce148;0.010936;0.0014789000000000002;58;90
773;Ce149;0.0072982;0.00076595;58;91
774;Ce150;0.004247399999999999;0.00046778;58;92
775;Ce151;0.0017878;0.00038373;58;93
776;Ce152;0.00051768;0.00016698;58;94
777;Ce153;7.8988e-05;2.9975e-05;58;95
778;Ce154;8.3777e-06;3.5301e-06;58;96
779;Ce155;1.7006e-08;7.0773999999999996e-09;58;97
780;Ce156;3.784e-10;1.4376e-10;58;98
781;Ce157;1.5657e-12;5.568300000000001e-13;58;99
782;Pr141;0.0;0.0;59;82
783;Pr143;0.0;0.0;59;84
784;Pr144;7.497100000000001e-10;2.7646e-10;59;85
785;Pr144m;6.6585000000000005e-09;2.4553000000000004e-09;59;85
786;Pr145;2.1897999999999998e-06;7.519299999999999e-07;59;86
787;Pr146;2.0066e-05;6.6846e-06;59;87
788;Pr147;0.00011671;3.9401e-05;59;88
789;Pr148;7.191100000000001e-05;2.4485e-05;59;89
790;Pr148m;0.00030243;0.00010297;59;89
791;Pr149;0.00096135;0.00028159;59;90
792;Pr150;0.0015735;0.00037802;59;91
793;Pr151;0.0018410999999999998;0.00036677;59;92
794;Pr152;0.0010605;0.00021921;59;93
795;Pr153;0.00047512;0.00013282;59;94
796;Pr154;0.00011304;4.295e-05;59;95
797;Pr155;2.6192e-05;1.016e-05;59;96
798;Pr156;2.9161000000000003e-06;1.0876e-06;59;97
799;Pr157;3.1516e-08;1.1204e-08;59;98
800;Pr158;2.1533e-10;8.131100000000001e-11;59;99
801;Pr159;3.7559e-12;1.3673e-12;59;100
802;Nd143;0.0;0.0;60;83
803;Nd144;0.0;0.0;60;84
804;Nd145;0.0;0.0;60;85
805;Nd146;1.2612000000000002e-09;4.2187e-10;60;86
806;Nd147;9.9524e-07;3.4412e-07;60;87
807;Nd148;1.4633e-05;5.344700000000001e-06;60;88
808;Nd149;4.592e-05;1.5929e-05;60;89
809;Nd150;0.00023186;6.8947e-05;60;90
810;Nd151;0.00057277;0.00014052;60;91
811;Nd152;0.00094346;0.00018104;60;92
812;Nd153;0.00089336;0.00013728;60;93
813;Nd154;0.00058062;5.2311e-05;60;94
814;Nd155;0.00024297;2.2536e-05;60;95
815;Nd156;8.8985e-05;1.2033e-05;60;96
816;Nd157;2.2774000000000003e-05;5.5752e-06;60;97
817;Nd158;2.9957e-06;1.0061e-06;60;98
818;Nd159;1.1721e-08;4.2635000000000004e-09;60;99
819;Nd160;4.9816e-10;5.420800000000001e-10;60;100
820;Pm147;0.0;0.0;61;86
821;Pm149;2.0044000000000002e-09;7.130299999999999e-10;61;88
822;Pm150;9.5514e-07;3.1870999999999997e-07;61;89
823;Pm151;1.0776999999999999e-06;3.5454e-07;61;90
824;Pm152;1.7255e-06;6.2277e-07;61;91
825;Pm152m;3.4457e-06;1.2436e-06;61;91
826;Pm152n;3.8113e-06;1.3755000000000002e-06;61;91
827;Pm153;2.0349e-05;8.432e-06;61;92
828;Pm154;1.4697999999999999e-05;6.88e-06;61;93
829;Pm154m;1.4697999999999999e-05;6.88e-06;61;93
830;Pm155;3.3561e-05;1.4350999999999999e-05;61;94
831;Pm156;3.4914e-05;1.1117e-05;61;95
832;Pm157;2.7380999999999998e-05;6.2393e-06;61;96
833;Pm158;5.9194000000000004e-06;1.7557e-06;61;97
834;Pm159;3.0456e-06;8.653299999999999e-07;61;98
835;Pm160;1.3287e-07;1.4412e-07;61;99
